Name,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Latitude,Longitude,Altitude,Image_name
0,0,0,0,0,0,0,0,49.30609934,-122.8067344,8,2022040918542557
1,0,0,0,0,0,0,0,49.30610311,-122.8067904,8,2022040918545855
2,0,0,0,0,0,0,0,49.30611031,-122.806846,8,2022040918552175
3,0,0,0,0,0,0,0,49.30611317,-122.8068924,8,2022040918555135
4,0,0,0,0,0,0,0,49.30612221,-122.8069294,8,2022040918560352
5,0,0,0,0,0,0,0,49.3061694,-122.8068033,8,2022040918562853
6,0,0,0,0,0,0,0,49.30613928,-122.8069725,8,2022040918565268
7,0,0,0,0,0,0,0,49.30617445,-122.8069818,8,2022040918590011
8,0,0,0,0,0,0,0,49.30620937,-122.8069754,8,2022040918592688
9,0,0,0,0,0,0,0,49.30624513,-122.8069672,8,2022040918595809
10,0,0,0,0,0,0,0,49.30626225,-122.8069259,8,2022040919001629
11,0,0,0,0,0,0,0,49.30625855,-122.8068722,8,2022040919013170
12,0,0,0,0,0,0,0,49.3062538,-122.8068432,8,2022040919015614
13,0,0,0,0,0,0,0,49.30623546,-122.8067973,8,2022040919021430
14,0,0,0,0,0,0,0,49.30621174,-122.8067503,8,2022040919023072
15,0,0,0,0,0,0,0,49.30619322,-122.8066976,8,2022040919035596
16,0,0,0,0,0,0,0,49.30618232,-122.8066735,8,2022040919035956
17,0,0,0,0,0,0,0,49.30614857,-122.8066307,8,2022040919043251
18,0,0,0,0,0,0,0,49.30611761,-122.8066352,8,2022040919045167
19,0,0,0,0,0,0,0,49.30612295,-122.806696,8,2022040919054130
20,0,0,0,0,0,0,0,49.30611462,-122.8067134,8,2022040919060692
21,0,0,0,0,0,0,0,49.30614492,-122.8067411,8,2022040919063471
22,0,0,0,0,0,0,0,49.30616261,-122.8067917,8,2022040919064833
23,0,0,0,0,0,0,0,49.30615382,-122.8068047,8,2022040919065176
24,0,0,0,0,0,0,0,49.30617961,-122.8068448,8,2022040919070686
25,0,0,0,0,0,0,0,49.30619057,-122.806882,8,2022040919072849
26,0,0,0,0,0,0,0,49.30619195,-122.8069015,8,2022040919074834
