Measurement Number,EW Slope,Down/Up,NS Slope vector,Down/Up,Column Number,
1,1.9,D,1.2,D,1,second from btm of 2 
2,1.2,D,4.5,D,2,from btm of 3 U 
3,1.1,U,1.7,D,2,
4,1.1,U,2,D,2,
5,0.5,D,0.9,D,2,
6,1.8,D,2.9,D,3,
7,0.2,D,0.6,D,3,
8,0.4,D,0.5,D,3,
9,0,U,1.4,D,3,
10,0,U,1.8,D,3,
11,0.7,U,1.2,D,3,
12,0.3,U,2.2,D,3,
13,0.4,U,2.5,D,3,
14,1.3,U,1.8,D,3,
15,0.5,U,2.1,D,3,
16,0.8,D,1.2,D,4,
17,0,U,0.6,D,4,
18,0.2,D,1,D,4,
19,0.3,D,1.5,D,4,
20,0.4,D,1.7,D,4,
21,0.4,D,1.5,D,4,
22,1.7,U,1.9,D,4,
23,0.1,U,2.1,D,4,
24,0.7,U,1.8,D,4,
25,0.6,U,2.3,D,4,
26,0.1,D,0.1,D,5,
27,0.3,U,0.7,D,5,
28,0,U,0.9,D,5,
29,0.7,D,1.6,D,5,
30,0.6,D,1.4,D,5,
31,0.4,D,1.7,D,5,
32,0.4,D,2.3,D,5,
33,0.7,U,2.4,D,5,
34,0.4,U,1.8,D,5,
35,1,U,1.4,D,5,
36,0.5,D,2.2,D,6,extra on north end 
37,0.6,D,0.8,D,6,
38,0.7,D,0.6,D,6,
39,0.6,D,1.6,D,6,
40,1,D,2.1,D,6,
41,0.7,D,1.6,D,6,
42,1.9,D,1.8,D,6,
43,1.8,D,1.2,D,6,
44,0.9,D,1.8,D,6,
45,0.3,D,0.7,D,6,
46,0.6,U,0.2,D,6,
47,3,D,3.9,D,7,extra on north end
48,0.4,U,0.6,D,7,
49,0.5,D,1.6,D,7,
50,0.3,D,0.9,D,7,
51,0.3,D,0.8,D,7,
52,1.3,D,2.1,D,7,
53,2,D,2.2,D,7,
54,2.8,D,2.5,D,7,
55,3.5,D,1.3,D,7,
56,3,D,0.6,D,7,
57,3.2,D,0.5,D,7,
58,0.9,D,2.5,U,7,
59,0.5,D,0.8,D,8,
60,0.3,D,1,D,8,
61,0.6,D,0.8,D,8,
62,0.3,D,1,D,8,
63,0.5,D,2,D,8,
64,1.1,D,3,D,8,
65,2.3,D,3.4,D,8,
66,2.1,D,2.3,D,8,
67,1.9,D,1.9,D,8,
68,0.3,D,0.8,D,8,
69,2.8,D,0.5,D,8,
70,3.8,D,3.9,U,8,
71,0.6,D,0.2,D,9,Extra on north 
72,0.3,D,0.8,D,9,
73,0,U,1,D,9,
74,0.3,D,0.8,D,9,
75,0.2,D,1,D,9,
76,0.8,D,2.4,D,9,
77,1.7,D,3.7,D,9,
78,1.8,D,2.9,D,9,
79,2.1,D,2.4,D,9,
80,1.9,D,1.8,D,9,
81,1.8,D,1.4,D,9,
82,2.3,D,1.1,D,9,
83,3.5,D,1.7,U,9,
84,0.5,D,0.4,U,10,
85,0.8,D,1.1,D,10,
86,0.9,D,0.9,D,10,
87,0.3,D,0.8,D,10,
88,0.4,D,1,D,10,
89,0.8,D,3.3,D,10,
90,1.6,D,4.1,D,10,
91,1.8,D,3.1,D,10,
92,1.7,D,2.2,D,10,
93,1.4,D,2,D,10,
94,0.9,D,1.3,D,10,
95,2.1,D,2.1,D,10,
96,0.9,D,1.7,U,10,
108,0.3,D,1.4,D,11,1 less on south
107,0.7,D,0.9,D,11,
106,0.8,D,0.5,D,11,
105,0.8,D,0.8,D,11,
104,1,D,1.5,D,11,
103,0.1,D,2.8,D,11,
102,1.1,U,4.5,D,11,
101,1.2,U,3.6,D,11,
100,0,U,3,D,11,
99,0.7,D,1.6,D,11,
98,0,U,1.3,D,11,
97,0.6,U,1,D,11,
109,0.3,D,1,D,12,1 less on north
110,1,D,0.3,D,12,
111,0.3,U,0.4,D,12,
112,1.4,U,0.4,D,12,
